id	cardId	msg	eventType	options	created_at	updated_at
856	005606224	["DAY"]	3	{"conf": {"pin": "----", "mode": 3, "phone": ["0033680684603", "0033768980032", "0033620428440", "*"], "groupe": "01", "jumper": 3, "slaveid": ["12", "*", "*", "*"]}, "firm": "T108", "stat1": [44, 5, 0, 6, 4, 2, 1, 11, 21], "maxtemp": -99}	2019-11-12 11:38:29	2019-11-12 11:38:29
855	003106224	["DAY"]	3	{"conf": {"pin": "----", "mode": 99, "phone": ["0628541025", "*", "*", "*"], "groupe": "01", "jumper": 1, "slaveid": ["99", "*", "*", "*"]}, "firm": "T107", "stat1": [167, 19, 0, 0, 0, 0, 0, 0, 168]}	2019-11-12 04:22:07	2019-11-12 04:22:07
854	005606224	["DAY"]	3	{"conf": {"pin": "----", "mode": 3, "phone": ["0033680684603", "0033768980032", "0033620428440", "*"], "groupe": "01", "jumper": 3, "slaveid": ["12", "*", "*", "*"]}, "firm": "T108", "stat1": [43, 5, 0, 6, 4, 2, 1, 11, 20], "maxtemp": -99}	2019-11-11 11:42:51	2019-11-11 11:42:51
853	003106224	["DAY"]	3	{"conf": {"pin": "----", "mode": 99, "phone": ["0628541025", "*", "*", "*"], "groupe": "01", "jumper": 1, "slaveid": ["99", "*", "*", "*"]}, "firm": "T107", "stat1": [166, 19, 0, 0, 0, 0, 0, 0, 167]}	2019-11-11 04:26:57	2019-11-11 04:26:57
852	005606224	["DAY"]	3	{"conf": {"pin": "----", "mode": 3, "phone": ["0033680684603", "0033768980032", "0033620428440", "*"], "groupe": "01", "jumper": 3, "slaveid": ["12", "*", "*", "*"]}, "firm": "T108", "stat1": [42, 5, 0, 6, 4, 2, 1, 11, 19], "maxtemp": -99}	2019-11-10 11:47:15	2019-11-10 11:47:15
851	003106224	["DAY"]	3	{"conf": {"pin": "----", "mode": 99, "phone": ["0628541025", "*", "*", "*"], "groupe": "01", "jumper": 1, "slaveid": ["99", "*", "*", "*"]}, "firm": "T107", "stat1": [165, 19, 0, 0, 0, 0, 0, 0, 166]}	2019-11-10 04:31:48	2019-11-10 04:31:48
850	001306224	["ACK"]	1	{"tic": "2276", "transfo": {"num": 12, "uid": "001306224", "firm": "T108", "type": "1"}}	2019-11-09 20:03:26	2019-11-09 20:03:26
849	001306224	["TRANSFORMATEUR", "12", "ALARME", "* DEFAUT TEMPERATURE 1"]	2	{"tic": "1702", "transfo": {"num": 12, "uid": "001306224", "firm": "T108", "type": "1"}}	2019-11-09 20:03:17	2019-11-09 20:03:17
848	005606224	["DAY"]	3	{"conf": {"pin": "----", "mode": 3, "phone": ["0033680684603", "0033768980032", "0033620428440", "*"], "groupe": "01", "jumper": 3, "slaveid": ["12", "*", "*", "*"]}, "firm": "T108", "stat1": [41, 5, 0, 6, 4, 2, 1, 11, 18], "maxtemp": -99}	2019-11-09 11:51:43	2019-11-09 11:51:43
847	003106224	["DAY"]	3	{"conf": {"pin": "----", "mode": 99, "phone": ["0628541025", "*", "*", "*"], "groupe": "01", "jumper": 1, "slaveid": ["99", "*", "*", "*"]}, "firm": "T107", "stat1": [164, 19, 0, 0, 0, 0, 0, 0, 165]}	2019-11-09 04:36:41	2019-11-09 04:36:41
